,Link,Datetime,Favs,Retweets,Count
129,https://www.gofundme.com/f/23cdd3-going-back-to-my-roots?utm_source=customer&amp;utm_campaign=p_cp+share-sheet&amp;utm_medium=copy_link-tip,2020-06-14 05:09:21+00:00,87,114,1
130,https://timesofindia.indiatimes.com/blogs/Swaminomics/dalitlivesmatter-why-we-dont-care-about-this-hashtag/,2020-06-14 05:16:03+00:00,49,16,1
131,https://www.gofundme.com/f/21dq19fqc0?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=p_na+share-sheet&amp;rcid=098d9e99e2f240c6b467d84e01573f8e,2020-06-14 06:10:26+00:00,43,54,1
132,https://abc7ne.ws/2UIjKLH,2020-06-14 06:41:05+00:00,81,50,1
133,https://www.esquire.com/news-politics/a23960/james-baldwin-cool-it/,2020-06-14 06:47:25+00:00,240,73,1
134,https://bit.ly/BlackBirthsMatter,2020-06-14 07:00:00+00:00,99,46,2
135,http://aje.io/ug45x,2020-06-14 09:30:00+00:00,335,100,1
136,http://www.sixnineteen.com,2020-06-14 11:00:08+00:00,112,63,2
137,https://www.writetothem.com,2020-06-14 11:17:40+00:00,81,44,1
138,https://www.thestar.com/opinion/contributors/2020/06/13/i-saw-no-examples-of-black-corporate-leaders-talking-about-systemic-racism-so-im-speaking-up.html,2020-06-14 11:23:32+00:00,189,89,1
139,https://www.reuters.com/article/us-minneapolis-police-protests-britain-v-idUSKBN23K0QI?taid=5ee51d80cc071f00018dc7ed,2020-06-14 11:30:03+00:00,76,44,1
140,https://www.thetimes.co.uk/edition/news/cps-accused-of-racism-over-death-of-boy-pushed-into-river-nklxqcdp0,2020-06-14 12:04:11+00:00,77,80,1
141,https://achieve.lausd.net/Page/12252,2020-06-14 12:17:56+00:00,89,25,1
142,https://drive.google.com/drive/folders/1k1rfk3tA-iH1jzD8hCnW7VfOEcRdWLDz?usp=sharing,2020-06-14 12:17:56+00:00,89,25,1
143,http://blm-helpfullinks.carrd.co,2020-06-14 12:19:18+00:00,34,52,1
144,http://forjusticeforpeace.carrd.co,2020-06-14 12:19:18+00:00,34,52,1
145,https://saytheirnames.carrd.co/,2020-06-14 12:19:18+00:00,34,52,1
146,https://pendingpetition.carrd.co/,2020-06-14 12:19:18+00:00,34,52,1
147,https://thehill.com/blogs/pundits-blog/crime/298693-hillary-clintons-superpredators-still-the-most-damaging-insult-by,2020-06-14 12:42:58+00:00,414,242,1
148,https://threader.app/thread/1272147418465755136,2020-06-14 12:45:44+00:00,57,52,1
149,http://nott.ac.uk/blm,2020-06-14 12:50:00+00:00,49,14,1
150,https://nyheteridag.se/bard-martin-luther-king-hade-hatat-black-lives-matter/,2020-06-14 12:51:46+00:00,889,111,1
151,https://www.bbc.co.uk/bbcthree/article/98703095-41da-45e7-883c-d92370e89920,2020-06-14 12:52:59+00:00,63,17,1
152,https://bit.ly/3hpbp9l,2020-06-14 13:00:03+00:00,30,18,1
153,https://on.cc.com/2Yu2R8H,2020-06-14 13:00:30+00:00,638,109,1
154,https://rothfelslab.berkeley.edu/2020/06/04/the-rothfels-lab-stands-against-racism-everywhere/,2020-06-14 13:22:37+00:00,39,16,1
155,https://gothamist.com/news/live-protest-updates-june-13-2020,2020-06-14 13:32:45+00:00,174,64,1
156,https://gothamist.com/news/photos/photos-scenes-protests-june-13-2020-manhattan-and-brooklyn?image=2,2020-06-14 13:32:45+00:00,174,64,1
157,https://w.wiki/TvC,2020-06-14 13:34:44+00:00,77,45,1
158,http://juneteenth.ohub.at/,2020-06-14 13:58:27+00:00,134,60,1
159,http://www.tinyurl.com/hwsagainstracism,2020-06-14 14:34:57+00:00,51,23,1
160,https://shar.es/aHLz6o,2020-06-14 14:37:54+00:00,43,36,1
161,https://bit.ly/3fh5Nwk,2020-06-14 14:45:03+00:00,314,97,1
162,https://www.ronalddraperart.com/product-page/resist,2020-06-14 15:28:15+00:00,32,23,1
163,https://blacklivesmatters.carrd.co/,2020-06-14 15:35:30+00:00,3282,1090,4
164,https://trans--rights.carrd.co/,2020-06-14 15:35:30+00:00,102,5,1
165,https://www.newyorker.com/culture/cover-story/cover-story-2020-06-22,2020-06-14 15:37:18+00:00,11668,4892,2
166,http://www.uhi.ac.uk/redbutton,2020-06-14 15:39:59+00:00,106,45,1
167,https://www.americanthinker.com/articles/2020/06/stereotyping_for_thee_but_not_for_me_the_lawless_states_of_america.html,2020-06-14 15:56:13+00:00,64,62,1
168,http://FREEDOMPLATFORM.TV/ICKE,2020-06-14 16:55:21+00:00,207,130,1
169,https://www.startribune.com/officers-slashed-tires-on-vehicles-parked-during-mpls-protests-unrest/571105692/,2020-06-14 17:01:51+00:00,486,329,1
170,https://www.theokraproject.com/,2020-06-14 17:10:58+00:00,216,197,4
171,https://www.tampabay.com/news/tampa/2020/06/14/while-protests-continue-tampas-trump-supporters-take-the-day-to-celebrate-on-the-bay/,2020-06-14 17:18:02+00:00,33,11,1
172,http://5calls.org,2020-06-14 17:18:24+00:00,35,12,1
173,https://alphanewsmn.com/alpha-news-sunday-cartoon-sleep-walzing/,2020-06-14 17:28:22+00:00,227,148,1
174,https://www.cornwalllive.com/news/cornwall-news/gallery/cornwall-surfers-stage-mass-black-4225424,2020-06-14 17:29:24+00:00,117,27,1
175,https://beefanddairynetwork.bandcamp.com,2020-06-14 17:33:29+00:00,86,17,1
176,https://twistedsifter.com/2020/06/stolen-portraits-by-adrian-brandon/?fbclid=IwAR2SChghIMZDsU8kZjuPxWmdiU6C93a5afiAU9TmXLjJH03h6td8yUKm31s,2020-06-14 17:41:11+00:00,182,94,1
177,http://breachrepairers.org/livestream,2020-06-14 18:00:28+00:00,152,61,1
178,https://bit.ly/2UImWXD,2020-06-14 18:09:20+00:00,188,26,1
179,http://shop-bohemianfc.com/collections/re…,2020-06-14 18:14:47+00:00,141,23,1
180,http://shop-bohemianfc.com/collections/bo…,2020-06-14 18:14:47+00:00,141,23,1
181,http://bohemianfc.com/?page_id=15495,2020-06-14 18:14:47+00:00,141,23,1
182,https://www.eventbrite.co.uk/e/blacklivesmatter-we-demand-change-open-forum-hosted-by-stand-up-to-racism-tickets-109174,2020-06-14 18:23:55+00:00,64,43,1
183,http://Vote.gov,2020-06-14 18:47:22+00:00,312,18,1
184,http://bit.ly/localbailfunds,2020-06-14 18:57:22+00:00,810,317,1
185,https://www.channel4.com/news/man-who-saved-protestor-at-london-rally-speaks-as-police-reveal-100-were-arrested,2020-06-14 18:59:51+00:00,638,166,2
186,https://ktla.com/news/local-news/all-black-lives-matter-protest-set-to-begin-in-hollywood-sunday-morning/,2020-06-14 19:27:38+00:00,252,95,1
187,https://www.gofundme.com/f/community-support-for-robert-fuller?utm_source=customer&amp;utm_campaign=p_cp+share-sheet&amp;utm_medium=copy_link-tip,2020-06-14 19:42:56+00:00,110,50,1
188,https://signatures.carrd.co,2020-06-14 19:42:56+00:00,110,50,1
189,https://docs.google.com/document/d/e/2PACX-1vSrT26HMWX-_hlLfiyy9s95erjkOZVJdroXYkU-miaHRk58duAnJIUWKxImRkTITsYhwaFkghS8sfIF/pub,2020-06-14 19:42:56+00:00,110,50,1
190,https://mailchi.mp/cb12991235c0/hope-is-a-discipline,2020-06-14 19:43:24+00:00,39,25,1
191,https://www.ajc.com/news/crime--law/man-arrested-after-shooting-deputies-outside-spalding-county-home-cops-say/9ntT3ybM6SvGYyxnXIEF8J/,2020-06-14 19:52:42+00:00,91,84,1
192,http://abc7ne.ws/2UIjKLH,2020-06-14 20:05:00+00:00,559,205,1
193,http://nyer.cm/aDxGTud,2020-06-14 20:11:11+00:00,86,33,1
194,https://abc7ne.ws/37uF3pe,2020-06-14 20:22:18+00:00,853,334,1
195,https://www.theepochtimes.com/deer-runs-into-black-lives-matter-protest-woman-injured_3387990.html,2020-06-14 20:25:01+00:00,187,78,1
196,https://bit.ly/2MTTgmi,2020-06-14 21:18:25+00:00,229,123,1
197,https://github.com/mheap/github-default-branch,2020-06-14 21:18:48+00:00,114,44,1
198,https://www.savetjs130.com/home,2020-06-14 21:28:07+00:00,449,518,1
199,https://www.facingsouth.org/2020/06/bitter-history-behind-highways-occupied-protesters,2020-06-14 21:40:26+00:00,118,83,1
200,https://www.latimes.com/california/story/2020-06-14/protesters-march-hollywood-to-west-hollywood-call-for-racial-justice,2020-06-14 21:51:22+00:00,21,11,1
201,http://nestorgomezstoryteller.com/video.html,2020-06-14 22:13:20+00:00,6620,952,11
202,https://en.as.com/en/2020/06/14/football/1592151987_093948.html,2020-06-14 22:31:44+00:00,61,10,1
203,https://www.tamilguardian.com/content/swiss-tamils-show-solidarity-black-lives-matter-protests,2020-06-14 23:02:33+00:00,138,52,1
204,https://www.savetjs130.com/statement,2020-06-14 23:10:53+00:00,136,69,1
205,https://www.seattletimes.com/seattle-news/seattle-area-protests-live-updates-on-sunday-june-14/,2020-06-14 23:23:39+00:00,127,47,1
206,https://bit.ly/2UJY3eb,2020-06-15 00:00:27+00:00,66,14,1
207,http://orlando.gov/councilcomment,2020-06-15 00:00:31+00:00,8,2,1
208,https://www.highsnobiety.com/p/support-black-lives-matter-causes-with-these-charity-t-shirts-and-more/,2020-06-15 00:01:05+00:00,1,0,1
209,https://boxd.it/Y552,2020-06-15 00:11:49+00:00,278,101,1
210,https://trans--rights.carrd.co,2020-06-15 00:11:49+00:00,452,179,2
211,https://blacklivesmatters.carrd.co,2020-06-15 00:11:49+00:00,10119,1948,3
212,https://time.com/5042560/libya-slave-trade/?fbclid=IwAR3_HH4PbLYDiqgj4OpMwYkPosmyGuqRthQYqCre6dHXhNFZeV4OPF2GuMY,2020-06-15 00:41:05+00:00,49,31,1
213,https://www.theokraproject.com,2020-06-15 00:43:50+00:00,82,29,1
214,https://www.nbcnews.com/news/us-news/police-killing-rayshard-brooks-atlanta-ruled-homicide-n1231042,2020-06-15 01:27:35+00:00,378,212,2
215,https://www.axios.com/national-guard-cost-protests-7dcac0c8-68ff-4a99-b022-174317904d5e.html,2020-06-15 01:30:38+00:00,195,190,1
216,https://anthrocon.org,2020-06-15 02:08:00+00:00,1092,252,1
217,https://www.theguardian.com/world/2020/jun/14/rayshard-brooks-shooting-protesters-set-fire-to-restaurant-where-black-man-shot-dead,2020-06-15 03:48:29+00:00,32,15,1
218,https://www.npr.org/2020/06/03/869176943/police-unions-and-civilian-deaths,2020-06-15 03:48:53+00:00,68,48,1
219,https://abc7ne.ws/30LMhDZ,2020-06-15 03:55:56+00:00,79,15,1
220,https://link.medium.com/KKU9dQTok7,2020-06-15 03:57:33+00:00,29,25,1
221,https://instagr.am/p/CBcTTMbheEv/,2020-06-15 04:25:31+00:00,250,50,1
222,https://qz.com/africa/1868699/from-african-american-freedom-to-ethiopias-war-against-fascism/,2020-06-15 05:37:41+00:00,78,12,1
223,https://www.sbs.com.au/news/afl-players-take-a-knee-in-support-of-black-lives-matter-movement?cid=newsapp:socialshare:twitter,2020-06-15 05:41:03+00:00,79,37,1
224,https://buff.ly/3hmVo41,2020-06-15 06:01:19+00:00,122,48,1
225,https://www.thestranger.com/slog/2020/06/14/43907515/capitol-hill-trader-joes-crew-members-speak-out-after-corporate-closes-store-indefinitely,2020-06-15 06:52:26+00:00,41,45,2
226,https://savetjs130.com,2020-06-15 06:52:26+00:00,41,45,2
227,https://buff.ly/2BZHjJo,2020-06-15 07:00:54+00:00,124,57,1
228,http://aje.io/f59l3,2020-06-15 08:20:18+00:00,368,144,1
229,https://bit.ly/2MVdXxY,2020-06-15 08:20:58+00:00,132,30,1
230,http://solo.bodleian.ox.ac.uk/permalink/f/o3iafp/oxfaleph020899230,2020-06-15 08:28:24+00:00,46,14,1
231,http://archive.vn/IQFCI#selection-133.0-133.17,2020-06-15 08:28:57+00:00,563,380,1
232,http://archive.vn/x7krq#selection-133.0-133.18,2020-06-15 08:28:57+00:00,563,380,1
233,http://archive.vn/YNjRt,2020-06-15 08:31:53+00:00,466,355,1
234,http://archive.vn/GLlBk,2020-06-15 08:31:53+00:00,466,355,1
235,http://archive.vn/ChYuc,2020-06-15 08:31:53+00:00,466,355,1
236,https://bit.ly/2BaByYS,2020-06-15 08:43:29+00:00,200,73,2
237,https://aje.io/l3fpq,2020-06-15 08:45:00+00:00,248,65,1
238,https://news.sky.com/story/black-lives-matter-slave-trader-colstons-name-removed-from-bristols-main-music-venue-12007045,2020-06-15 08:47:39+00:00,50,22,1
239,https://bit.ly/30wPwz5,2020-06-15 09:14:50+00:00,348,217,4
240,https://www.bbc.co.uk/schedules/p00fzl6b,2020-06-15 09:22:45+00:00,402,110,1
241,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/643001/lammy-review-final-report.pdf,2020-06-15 09:25:45+00:00,61,25,1
242,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/655401/Report_of_Angiolini_Review_ISBN_Accessible.pdf,2020-06-15 09:25:45+00:00,61,25,1
243,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/874022/6.5577_HO_Windrush_Lessons_Learned_Review_WEB_v2.pdf,2020-06-15 09:25:45+00:00,61,25,1
244,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/594336/race-in-workplace-mcgregor-smith-review.pdf,2020-06-15 09:25:45+00:00,61,25,1
245,https://www.folia.nl/international/138739,2020-06-15 09:31:28+00:00,60,20,1
246,https://open.spotify.com/episode/2tx1oxBj9T6bt5t5f107EL?si=KURhOl9JSke1Y1cx8_F6HQ,2020-06-15 10:02:17+00:00,269,132,1
247,https://podcasts.apple.com/gb/podcast/the-beautiful-game-podcast/id1464558689#episodeGuid=https%3A%2F%2Fapi.spreaker.com%2Fepisode%2F30537219,2020-06-15 10:02:17+00:00,269,132,1
248,https://bit.ly/3fcNwzX,2020-06-15 10:20:31+00:00,79,35,1
249,http://tl.gd/n_1sr9at2,2020-06-15 10:21:55+00:00,128,75,1
250,https://aje.io/ua66r,2020-06-15 10:45:00+00:00,483,164,1
251,https://www.cmhc-schl.gc.ca/en/media-newsroom/notices/2020/our-commitment-black-lives-matter,2020-06-15 11:12:38+00:00,67,18,1
252,http://bit.ly/3fcNwzX,2020-06-15 11:14:58+00:00,26,17,1
